price,Type of Property,Pool,bedrooms,bathrooms,parking space,Erf Size,Pets Allowed,Floor Size,Levies,Rates and Taxes
R 7 200 000,CommercialProperty,0,,,,,,,,
R 1 490 000,House,0,4,2,2,559m²,,,,
R 580 000,House,0,2,1,,,0.0,,,
R 13 800 000,Apartment/Flat,1,3,4,1,514m²,,,,
R 13 200 000,Apartment/Flat,0,49,34,31,495m²,,,,
R 9 950 000,CommercialProperty,0,,,,333m²,,,,
R 950 000,House,0,4,3,4,,,,,
R 670 000,Apartment/Flat,0,2,1,,1451m²,,38m²,R400,
R 2 200 000,VacantLand/Plot,0,,,,,,,,
R 430 000,Apartment/Flat,0,1,1,,,0.0,,R1000,R350
R 2 500 000,House,0,,,,,,,,
R 2 650 000,House,1,3,2,4,496m²,,,,
R 1 900 000,House,1,3,2,2,1506m²,1.0,,,
R 310 000,Apartment/Flat,0,1,1,1,,,,,
R 14 990 000,Apartment/Flat,0,4,4.5,2,,,412m²,,
R 14 433 000,CommercialProperty,0,,,,5905m²,,5000m²,,
R 9 500 000,CommercialProperty,0,,,,,,,,
R 3 995 000,VacantLand/Plot,0,,,,32999m²,,,,
R 2 299 000,Townhouse,0,3,2,,,0.0,160m²,R4035,R1257
R 1 199 000 - R 1 299 000,,0,,,,,,,,
R 625 000,Apartment/Flat,0,2,1,,,,107m²,,
R 540 000,Apartment/Flat,1,1,1,1,,1.0,,,
R 1 850 000,House,0,4,3,3,400m²,,,,R1000
R 640 000,Apartment/Flat,0,2,1,,,,51m²,,
R 1 990 000,House,0,3,2.5,,774m²,1.0,,,R665
R 10 380 000,House,1,4,3.5,2,3866m²,1.0,,,
R 10 500 000,House,1,4,4.5,2,,1.0,500m²,,
R 620 000,Apartment/Flat,0,2,1,,,,,R1200,R500
R 370 000,Apartment/Flat,0,1,1,,,,,,
R 1 999 000,House,0,,2,15,1106m²,0.0,400m²,,
R 2 500 000,House,0,3,2.5,4,685m²,,,,
R 1 150 000,House,0,3,2,1,,,,,
R 460 000,Apartment/Flat,0,1,1,1,,,,,
R 390 000,Apartment/Flat,0,1,1,,,0.0,33m²,R1400,
R 1 799 000,House,0,3,3,2,,1.0,,,
R 2 100 000,House,0,6,6,,,,,,
R 465 000,Apartment/Flat,0,,1,1,,,27m²,R1480,R188
R 2 500 000,House,1,4,2.5,3,509m²,,,,
R 740 000,House,0,7,2,,,1.0,,,R450
R 850 000,House,0,3,2,4,785m²,1.0,,,
R 707 180 - R 751 950,,0,,,,,,,,
R 1 799 000,VacantLand/Plot,0,,,,,,,,
R 28 000 000,House,1,3,3,2,5175m²,1.0,,,R11000
R 2 225 000,House,1,4,2.5,14,2562m²,,,,R1040
R 1 699 000,Apartment/Flat,1,2,1,1,71m²,,71m²,,
R 660 000,House,0,3,1,,1169m²,,140m²,,
R 10 900 000,House,1,4,4.5,3,2054m²,,,,R5450
R 1 600 000,House,1,3,2,2,1170m²,1.0,,,R895
R 850 000,Apartment/Flat,1,1,1,2,48m²,,48m²,,
R 3 000 000,Apartment/Flat,0,2,2,2,,,116m²,,
R 8 800 000,House,1,5,4,2,800m²,,732m²,,
R 3 489 000,CommercialProperty,0,,,,1614m²,0.0,2850m²,,
R 1 149 000,Townhouse,1,2,2,2,,0.0,81m²,,
R 2 349 000,House,0,10,5,15,1041m²,0.0,500m²,,
R 3 999 000,House,0,3,2,2,1787m²,1.0,,,R2100
R 2 500 000,House,1,5,2,8,496m²,,,,
R 3 600 000,IndustrialProperty,0,,,,,,860m²,,
R 1 439 000 - R 1 458 000,,0,,,,,,,,
R 3 099 000,House,1,4,4,3,,1.0,,,
R 2 400 000,Apartment/Flat,1,2,2,2,181m²,,,R3000,R760
R 26 500 000,CommercialProperty,0,,,,1293m²,,3700m²,,
R 520 000,Apartment/Flat,0,2,1,1,,0.0,,,
R 1 590 000,Apartment/Flat,0,2,1,1,,0.0,138m²,,
R 300 000,Apartment/Flat,0,2,1,,,,,,
R 1 560 000,Apartment/Flat,0,2,2,2,,,,,
R 1 750 000,House,1,4,2,4,1975m²,1.0,430m²,,R450
R 450 000,Apartment/Flat,0,0.5,1,,,,,,
R 2 399 000,House,0,4,2,4,495m²,,,,
R 9 500 000,CommercialProperty,0,,,,,,,,
R 850 000,Townhouse,0,3,2,2,,0.0,,,
R 650 000,Townhouse,0,2,1,1,,,43m²,,
R 2 900 000,Apartment/Flat,1,3,2,2,,0.0,178m²,,
R 3 000 000,House,1,5,3,5,995m²,,,,
R 500 000,Apartment/Flat,0,2,1,,,,,,
R 645 000,Apartment/Flat,0,2,2,1,4601m²,0.0,116m²,R3500,R456
R 28 000 000,IndustrialProperty,0,,,,,,35000m²,,
R 1 350 000,House,1,6,4,4,496m²,1.0,,,R900
R 2 499 000,Townhouse,1,4,2,4,,,,,
R 2 475 000 - R 2 499 000,,0,,,,,,,,
R 990 000,House,0,3,2,1,495m²,,,,
R 999 000,House,0,3,1,3,,0.0,,,
R 1 050 000,House,0,10,10,,,1.0,,,R246
R 2 450 000,CommercialProperty,0,,,,605m²,,,,
R 1 395 000,House,0,10,4,3,495m²,1.0,,,R245
R 950 000,House,1,3,2,4,,,,,
R 11 500 000,House,1,4,4,2,1322m²,0.0,450m²,,
R 3 890 000,Apartment/Flat,1,1,1.5,1,,,90m²,,
R 12 500 000,CommercialProperty,0,,,,,,,,
R 3 999 000,House,1,3,3.5,4,689m²,,,,
R 565 000,Apartment/Flat,0,3,1,1,,0.0,129m²,,
R 665 000,House,0,2,1,2,278m²,0.0,,,
R 1 090 000,Townhouse,0,2,1.5,1,,,,R1500,R700
R 542 000,Townhouse,1,3,,,,,,R800,R206
R 1 995 000,House,1,3,1.5,,1903m²,1.0,,,
R 15 000 000,Apartment/Flat,1,3,3,1,313m²,,,,
R 1 100 000,Apartment/Flat,0,2,1,,,,,,
R 745 000,Apartment/Flat,0,2,2,,,0.0,,,
R 1 400 000,House,0,3,2,5,435m²,0.0,,,
POA,Apartment/Flat,0,32,34,32,,,,,
R 4 900 000,,0,,,,,,,,
R 10 900 000,Apartment/Flat,0,3,3,2,,0.0,266m²,,
R 2 000 000,Apartment/Flat,1,2,1.5,2,,,153m²,R4300,R1300
R 3 990 000,House,1,3,2.5,3,990m²,,,,R2200
R 1 495 000,House,0,4,2,4,900m²,,,,
R 1 550 000,House,1,3,2,1,496m²,,,,
R 999 000,Apartment/Flat,1,1,1,1,,1.0,52m²,R1800,
R 1 600 000,Apartment/Flat,1,1,1,2,,,54m²,R1450,R800
R 2 500 000,Apartment/Flat,0,2,2,2,,,,,
R 2 790 000,Apartment/Flat,0,2,2,2,,,,,
R 600 000,Apartment/Flat,0,2,2,1,,,,,
R 650 000,Townhouse,0,1,1,,,,68m²,,
R 2 250 000,House,1,3,3,3,495m²,,,,
R 15 800 000,CommercialProperty,0,,,,2552m²,,,,
R 14 900 000,Apartment/Flat,0,55,34,40,,,,,
R 2 400 000,House,0,15,5,4,,0.0,,,
R 4 375 000,House,1,8,8,1,3686m²,,,,
R 2 100 000,House,1,5,5,2,1109m²,,,,
R 5 850 000,CommercialProperty,0,,,,,,,,
R 550 000,House,0,3,1,4,550m²,,,,
R 629 000,,0,,,,,,,,
R 350 000,Apartment/Flat,0,1,1,,,,47m²,R1300,
R 1 000 000,House,0,6,2,4,,,,,
R 750 000,House,0,3,2,2,,1.0,,,R500
R 1 300 000,House,0,5,2,2,990m²,,,,
R 2 200 000,Apartment/Flat,1,2,2,1,,0.0,156m²,,
R 9 999 000,VacantLand/Plot,0,,,,3866m²,0.0,,,R3600
R 530 000,Apartment/Flat,0,2,1,1,,,,,
R 3 275 000,House,1,4,2,3,1500m²,,,,
POA,CommercialProperty,0,,,,,,,,
R 2 600 000,House,1,3,2,2,,,,,
R 180 000,Apartment/Flat,0,,1,,,,52m²,R800,R400
R 3 650 000,CommercialProperty,0,,,,,,,,
R 3 300 000,Apartment/Flat,0,1,1,1,,,,R3720,R3720
R 1 895 000,House,1,2,1.5,3,549m²,,,,
R 1 800 000,CommercialProperty,0,,,,,,,,
R 7 500 000,CommercialProperty,0,,,,5995m²,,,,
R 110 600 000,IndustrialProperty,0,,,,158000m²,,,,
R 739 000,Apartment/Flat,1,3,1,2,,0.0,,R1770,R369
R 2 795 000,House,0,5,3,3,495m²,0.0,,,
R 3 090 000,Apartment/Flat,0,3,2,2,,,,,
R 6 500 000 - R 7 990 000,,0,,,,,,,,
R 1 560 000,Apartment/Flat,0,1,1,1,,,,,
R 2 590 000,Apartment/Flat,0,2,2,2,,,,,
R 1 190 000,Apartment/Flat,0,1,1,1,,,,,
R 790 000,Apartment/Flat,1,2,2,1,2978m²,0.0,82m²,R1766,R374
R 10 000 000,House,0,4,4,2,,,,,
R 2 350 000,CommercialProperty,0,,,,,,,,
R 3 490 000,Apartment/Flat,1,1,1,1,,1.0,102m²,R4223,R2500
R 3 990 000,Apartment/Flat,0,3,3,2,,,,,
R 380 000,Apartment/Flat,0,1,1,,33m²,,,,
R 450 000,Apartment/Flat,1,2,1,,46m²,,,,
R 1 100 000,House,0,2,1,,942m²,,180m²,,
R 5 799 000,House,1,6,5,7,,1.0,,,
R 1 450 000,Apartment/Flat,1,3,2,,93m²,,,,
R 800 000,House,0,3,1,1,180m²,,,,
R 945 000,Apartment/Flat,0,2,1.5,2,,0.0,,,
R 690 000,Apartment/Flat,1,2,1,1,,,,,
R 2 300 000,House,0,5,3,2,,,,,
R 3 100 000,House,0,,,1,,,,,R1000
R 990 000,House,0,2,1,2,,,,,
R 11 950 000,House,1,4,5.5,4,,1.0,,,
R 390 000,Apartment/Flat,0,3,1,,,,,R1400,
R 6 200 000,House,1,6,5,2,,,,,
R 370 000,Apartment/Flat,0,2,2,,,,122m²,,
R 1 590 000,CommercialProperty,0,,,,539m²,0.0,,,
R 2 980 000,House,1,4,1,3,2082m²,1.0,,,
R 1 150 000,House,0,7,4,6,,,,,
R 3 180 000,House,1,3,4.5,5,,1.0,,,
R 7 200 000,House,0,,,,520m²,,,,
R 28 000 000,CommercialProperty,0,,,,3400m²,0.0,,,R39958
R 1 700 000,CommercialProperty,0,,,,,,,,R1265
R 595 000,Townhouse,1,3,1,2,,0.0,,,
R 1 749 000,CommercialProperty,0,,,,465m²,0.0,700m²,,
R 1 250 000,House,1,4,2,3,495m²,1.0,,,
R 3 999 000 - R 4 249 000,,0,,,,,,,,
POA,CommercialProperty,0,,,,,,,,
R 490 000,Apartment/Flat,0,,1,,5158m²,,55m²,R1500,R404
R 4 500 000,House,1,6,4,4,3718m²,,,,
R 5 000 000,CommercialProperty,0,,,,,,,,
R 27 500 000,Apartment/Flat,0,54,54,,,,,,
R 480 000,Apartment/Flat,0,1,1,1,,0.0,78m²,,
R 7 200 000,House,0,13,10,1,,,,,
R 6 000 000,VacantLand/Plot,0,,,,,,,,
R 599 000,Apartment/Flat,0,1,1,,,,82m²,,
R 1 490 000,House,1,3,2,,,1.0,,,
R 1 399 000,House,0,13,6,6,986m²,,,,R1100
R 3 000 000,CommercialProperty,0,,,,,,,,
R 1 700 000,House,0,2,1,4,575m²,,,,
R 595 000,Apartment/Flat,0,3,2,1,,,,R1700,R190
R 395 000,VacantLand/Plot,0,,,,,,,,
R 185 000,Apartment/Flat,0,,1,,1487m²,,28m²,R496,R393
R 1 200 000,House,0,4,2,1,,,,,
R 3 500 000,Apartment/Flat,1,2,2,2,,,130m²,R5333,R2584
R 2 999 000,Apartment/Flat,0,1,1,2,,1.0,55m²,R2518,
R 770 000,Apartment/Flat,0,3,1,,69m²,,,,
R 570 000,,0,,,,,,,,
R 1 600 000,Apartment/Flat,0,2,1,2,,0.0,138m²,,
R 3 050 000,VacantLand/Plot,0,,,,977m²,,,,
R 16 000 000,House,0,,,,,,,,
R 1 100 000,Townhouse,0,3,2,2,,,,R4000,R213
POA,House,0,,,,,,,,
R 2 850 000,House,1,3,2,5,991m²,,,,
R 5 500 000,CommercialProperty,0,,,,,,,,
R 1 800 000,House,0,7,7,1,,,,,
R 800 000,House,0,4,2,,418m²,,,,
R 850 000,House,0,5,1.5,,,,,,
R 1 995 000,House,0,4,3,3,498m²,,,,
R 1 050 000,House,0,11,2,,248m²,,,,
R 3 310 000,Apartment/Flat,1,2,3,3,,,,R6260,R2606
R 2 200 000,House,1,3,,4,933m²,,,,
R 1 250 000,House,0,7,7,,,0.0,,,
R 1 900 000,Farm,0,,,,,,,,
R 900 000,House,0,,,,,,,,
R 8 000 000,CommercialProperty,0,,,,742m²,,,,
R 4 770 000,,0,,,,,,,,
R 7 495 000,House,1,3,2,3,3965m²,1.0,,,R3200
R 520 000,Apartment/Flat,1,1,1,,,,,,
R 645 000,Townhouse,0,3,1,,,0.0,,,
R 17 900 000,Apartment/Flat,1,4,4.5,3,,,,,
R 800 000,Apartment/Flat,1,2,1,1,,,,,
R 505 000,Apartment/Flat,0,1,1,1,,,35m²,,
R 2 000 000,House,0,4,3,2,478m²,,,,
R 365 000,Apartment/Flat,1,2,2,1,,,,,
R 3 290 000,CommercialProperty,0,,,,991m²,,,,
R 5 200 000,CommercialProperty,0,,,,496m²,,498m²,,
R 5 500 000,CommercialProperty,0,,,,495m²,,1200m²,,
R 9 000 000,Apartment/Flat,0,,,,991m²,,8000m²,,
R 375 000,Apartment/Flat,0,1,1,,,,,R875,
R 1 895 000,Apartment/Flat,0,4,3,2,197m²,,,,
R 435 000,Apartment/Flat,0,,1,,2478m²,,35m²,R850,R900
R 549 000,Apartment/Flat,0,2,1,,,0.0,,,
R 3 500 000,House,0,5,3,6,,,,,
R 450 000,Apartment/Flat,0,2,1,1,,,,,
R 1 400 000,House,0,3,2,2,1073m²,,,,
R 2 499 900 - R 3 099 900,,0,,,,,,,,
R 5 950 000,House,0,,,,,,,,
R 360 000,Apartment/Flat,0,2,1,1,,,,,
R 1 150 000,Apartment/Flat,0,3,2,2,,,,,
R 480 000,Apartment/Flat,0,2,1,,,0.0,,R2300,
R 17 200 000,House,0,18,18,,22211m²,,,,
R 1 000 000,House,0,7,3,,495m²,1.0,,,R550
R 7 300 000,House,0,13,10,20,24500m²,,,,
R 870 000,Townhouse,1,2,1,3,,,116m²,,
R 7 400 000,House,1,4,4,9,2974m²,,,,
R 1 899 000,Apartment/Flat,0,2,2,2,,0.0,120m²,R3100,
R 13 500 000,House,1,4,2,6,32375m²,,,,
R 4 100 000,Apartment/Flat,1,2,2.5,2,,0.0,,,
R 675 000,Apartment/Flat,0,3,2,1,,0.0,135m²,,R1095
R 1 795 000,House,0,3,2,2,480m²,,,,
R 7 500 000,House,0,,,,,,,,
R 300 000,House,0,2,1,,252m²,0.0,,,R121
R 750 000,House,0,,,,,,,,
R 745 000,Townhouse,1,3,1,2,2678m²,1.0,70m²,R890,R450
R 2 000 000,VacantLand/Plot,0,,,,,,,,
R 550 000,Apartment/Flat,0,3,1,3,,,,,
R 1 575 000,,0,,,,,,,,
R 2 699 000,House,0,7,5,6,,,,,
R 1 250 000,House,0,5,3,5,,,,,
R 2 250 000,Apartment/Flat,0,3,2,1,,,,,
R 400 000,Apartment/Flat,0,,1,,,,30m²,,
R 529 000,Apartment/Flat,0,1,1,1,,0.0,43m²,R1299,
R 550 000,Apartment/Flat,0,3,1,,,,,,
R 5 900 000,House,0,3,3.5,2,495m²,,,,
R 2 200 000,House,1,3,3,5,1318m²,,,,
R 1 600 000,House,0,,,,,,,,
POA,IndustrialProperty,0,,,,,,306m²,,
R 3 500 000,CommercialProperty,0,,,,,,,,
R 1 100 000,House,0,11,3,5,1025m²,,,,
R 32 000 000,Apartment/Flat,0,97,10,,248m²,,,,
R 2 800 000,VacantLand/Plot,0,,,,11575m²,1.0,,,
R 1 100 000,House,0,10,1,,,,,,
R 3 000 000,IndustrialProperty,0,,,,2355m²,,2355m²,,
R 1 500 000,House,0,4,2,1,1600m²,,,,
R 530 000,House,0,3,1,1,,,,,
R 780 000,House,0,2,1,3,,,,,
R 70 000 000,IndustrialProperty,0,,,,,,,,
R 420 000,House,0,1,1,1,,,43m²,,R1620
R 1 950 000,Apartment/Flat,0,2,2,1,,0.0,105m²,R1945,R1252
R 980 000,Apartment/Flat,0,,,,,,,,
R 950 000,VacantLand/Plot,0,,,,597m²,0.0,,,R650
R 8 000 000,House,0,24,8,,,,,,
R 800 000,House,0,3,1,2,260m²,1.0,,,
R 8 495 000,House,0,3,3,2,2974m²,,,,
R 595 000,Apartment/Flat,0,1,1,1,,0.0,,,
R 10 000 000,CommercialProperty,0,,,,,,,,
R 400 000,Apartment/Flat,0,1,1,2,,1.0,,R1200,R480
R 6 900 000,CommercialProperty,0,,,,2000m²,,1857m²,,R11240
R 550 000,Townhouse,0,1,1,1,,,,,
R 1 770 000,House,0,,,,,,,,
R 1 005 000 - R 1 355 000,,0,,,,,,,,
R 330 000,House,0,2,1,,262m²,,,,R140
R 590 000,Townhouse,0,2,1,1,,1.0,,,
R 1 200 000,House,0,3,1,,636m²,,,,R200
R 695 000,Apartment/Flat,0,2,2,1,,,84m²,R1700,R400
R 1 800 000,House,1,3,2,2,1950m²,,876m²,,R450
R 350 000,Apartment/Flat,0,1,1,,,,26m²,,
R 2 200 000,House,0,4,2,2,,,,,
R 559 000,House,0,2,1,,195m²,,40m²,,
R 11 000 000,VacantLand/Plot,0,,,,2996m²,,,,
R 685 000,Townhouse,1,2,1,2,2678m²,1.0,47m²,R890,R480
R 540 000,Apartment/Flat,0,1,1,,,,50m²,R1030,R250
POA,CommercialProperty,0,,,,6000m²,,6000m²,,
R 15 000 000,House,1,4,3,2,4148m²,0.0,,,
R 4 990 000,Apartment/Flat,0,2,2.5,2,,,150m²,,
R 6 000 000,CommercialProperty,0,,,,1059m²,,,,
R 1 595 000,Apartment/Flat,1,1,1,1,,,52m²,,
R 2 499 000,House,0,3,2.5,1,495m²,1.0,,,
R 470 000,Apartment/Flat,0,1,1,1,,,,,
R 11 900 000,Apartment/Flat,1,9,9,20,,1.0,,,R3800
R 9 600 000,CommercialProperty,0,,,,,0.0,,,
R 629 000,,0,,,,,,,,
R 2 200 000,House,1,3,1,,,,,,
R 1 950 000,House,0,4,2,4,841m²,,,,
R 2 920 000,House,0,,,,,,,,
R 2 800 000,Townhouse,0,2,2,2,,,,,
R 2 920 000,House,0,,,,,,,,
R 2 400 000,Apartment/Flat,0,4,3,2,,,,,
R 370 000,House,0,,,,,,,,
R 6 500 000,House,0,,,,,,,,
R 750 000,Townhouse,1,2,1,,,,69m²,,
R 1 200 000,House,0,10,4,1,744m²,,280m²,,
R 5 999 000,Farm,1,,,,,1.0,375m²,,
R 950 000,Townhouse,1,2,1,,,1.0,70m²,,
R 1 140 000,Townhouse,0,3,2,1,,,116m²,,
R 2 500 000,CommercialProperty,0,,,,10000m²,,500m²,,
R 750 000,Townhouse,0,2,1,1,,,78m²,,
R 3 100 000,Townhouse,0,3,4,2,,,294m²,,
R 8 000 000,CommercialProperty,0,,,,1100m²,,,,
